iter	RMSE
0	449.6780075
1	432.2223793
2	415.6785159
3	400.5765582
4	385.3002844
5	370.8004845
6	357.2661063
7	344.3446019
8	332.3300887
9	321.5436979
10	310.309936
11	300.46624
12	290.2432825
13	280.7885539
14	272.8478678
15	264.7308861
16	256.7504172
17	248.8092966
18	242.6992748
19	235.9122694
20	230.04526
21	224.6671943
22	218.8991196
23	213.1449301
24	207.9451669
25	203.2056696
26	199.3460046
27	195.1923358
28	191.5918372
29	188.100234
30	184.1965003
31	180.5952718
32	177.5736908
33	174.534397
34	171.8299477
35	169.0518029
36	166.2762452
37	164.0320876
38	161.856351
39	159.4625568
40	157.2831241
41	155.2743787
42	153.2596658
43	151.3310238
44	149.4463559
45	147.9820767
46	146.6199265
47	145.462868
48	144.2672677
49	142.9758194
50	141.8578772
51	140.7523786
52	139.5450766
53	138.4551463
54	137.5782911
55	136.5691328
56	135.6677928
57	134.8681873
58	134.013941
59	133.4479941
60	132.7636969
61	132.2983711
62	131.6636442
63	131.0419576
64	130.3391433
65	129.7280541
66	129.0281325
67	128.5985502
68	128.1067074
69	127.6172713
70	127.121258
71	126.723561
72	126.3279583
73	125.8495103
74	125.448872
75	125.0532089
76	124.7607887
77	124.4167511
78	123.9749962
79	123.6211955
80	123.208355
81	122.9786196
82	122.6816098
83	122.3218895
84	121.95021
85	121.443249
86	121.0963195
87	120.7445542
88	120.469424
89	120.0977041
90	119.8866969
91	119.7021345
92	119.4399612
93	119.0119809
94	118.8478366
95	118.5806088
96	118.3062729
97	118.0659769
98	117.7699828
99	117.5036087
100	117.2585206
101	117.0712504
102	116.7927432
103	116.6426456
104	116.4561509
105	116.2414537
106	116.0833308
107	115.9241942
108	115.6861618
109	115.4106556
110	115.2319061
111	114.9796341
112	114.8863266
113	114.6879041
114	114.4999656
115	114.301996
116	114.1245419
117	113.8477445
118	113.7024513
119	113.5872436
120	113.2703828
121	113.0801413
122	112.9207941
123	112.6733881
124	112.5428113
125	112.4474714
126	112.3092557
127	112.1445264
128	112.0007281
129	111.9116731
130	111.81625
131	111.6632929
132	111.4443903
133	111.3173601
134	111.2035664
135	111.0997158
136	110.9886529
137	110.8912165
138	110.7226216
139	110.5835573
140	110.4827272
141	110.3142589
142	110.1101659
143	109.9667089
144	109.8567314
145	109.7181549
146	109.5576818
147	109.5008643
148	109.4434609
149	109.2697214
150	109.0295555
151	108.921161
152	108.7671536
153	108.6592145
15154	107.3922815
155	107.2873343
156	107.2113535
157	107.0605322
158	106.9356854
159	106.8314708
160	106.7025223
161	106.5986309
162	106.3767407
163	106.2329051
164	106.0099587
165	105.8698675
166	105.6784327
167	105.5769899
168	105.3655075
169	105.2051378
170	105.0575948
171	104.8465883
172	104.7462371
173	104.6504347
174	104.5539141
175	104.4418617
176	104.2758044
177	104.1847956
178	104.0996691
179	103.9575284
180	103.8600733
181	103.6637708
182	103.5020113
183	103.4256787
184	103.2722338
185	103.1765452
186	103.1058706
187	102.9573323
188	102.8320359
189	102.6457978
190	102.5179201
191	102.3857904
192	102.3185388
193	102.222789
194	102.135042
195	102.0130486
196	101.8635619
197	101.7727677
198	101.6725621
199	101.5584422
200	101.4879789
201	101.4025415
202	101.288648
203	101.2099689
204	101.1007628
205	101.0298648
206	100.9619543
207	100.8477891
208	100.7572252
209	100.6755085
210	100.5740966
211	100.4542989
212	100.346421
213	100.2501444
214	100.1408995
215	100.061684
216	99.93157488
217	99.82825503
218	99.66212989
219	99.53202841
220	99.42402359
221	99.35622373
222	99.29208831
223	99.14004788
224	99.03763714
225	98.91411246
226	98.80511201
227	98.65554201
228	98.56033261
229	98.42163972
230	98.3262269
231	98.23353481
232	98.1809526
233	98.04307221
234	97.94332483
235	97.81142908
236	97.67644719
237	97.54401443
238	97.36160634
239	97.31564577
240	97.22626065
241	97.08476549
242	96.99706185
243	96.90532627
244	96.78695232
245	96.66944614
246	96.53047913
247	96.39254672
248	96.3041476
249	96.22907489
250	96.18382477
251	96.12846211
252	96.01142526
253	95.95308788
254	95.89613943
255	95.75982828
256	95.64741344
257	95.52928543
258	95.43556474
259	95.37534259
260	95.29767525
261	95.10616037
262	95.06422928
263	94.95333825
264	94.9079442
265	94.82902568
266	94.79669282
267	94.73540994
268	94.64091836
269	94.51872644
270	94.43525208
271	94.33054341
272	94.28778451
273	94.21432776
274	94.08711539
275	93.99774679
276	93.92834972
277	93.85253956
278	93.72620326
279	93.65996043
280	93.52167792
281	93.41108333
282	93.30870798
283	93.24386627
284	93.15407201
285	93.03784334
286	92.90376497
287	92.80706771
288	92.73367752
289	92.64939887
290	92.55732827
291	92.4925638
292	92.4356109
293	92.3850874
294	92.27796367
295	92.21977011
296	92.11121322
297	92.05196653
298	91.93268341
299	91.81960592
300	91.77930261
301	91.67042022
302	91.58790159
303	91.44549346
304	91.38394741
305	91.31014281
306	91.26316079
307	91.19711078
308	91.09195409
309	91.0178728
310	90.97428999
311	90.88470577
312	90.77298275
313	90.71360493
314	90.68880631
315	90.58831621
316	90.50043572
317	90.47202252
318	90.43543438
319	90.33891426
320	90.23020746
321	90.14252658
322	90.08363755
323	90.00786197
324	89.94373244
325	89.87105121
326	89.77346801
327	89.72200486
328	89.67757181
329	89.52278333
330	89.44644281
331	89.3767809
332	89.33995818
333	89.22383991
334	89.11845582
335	89.01641788
336	88.86965802
337	88.78997876
338	88.76261972
339	88.68181173
340	88.65553204
341	88.58677335
342	88.48893526
343	88.44267918
344	88.39828317
345	88.30933324
346	88.20625494
347	88.11713415
348	88.01459914
349	87.88915675
350	87.8259817
351	87.75825377
352	87.67481574
353	87.60180508
354	87.5434738
355	87.47473881
356	87.39874448
357	87.31469505
358	87.2759415
359	87.23984577
360	87.1570418
361	87.09768913
362	87.00425912
363	86.96112379
364	86.89083641
365	86.84528747
366	86.80464977
367	86.76601059
368	86.71751226
369	86.6375888
370	86.53419216
371	86.50862267
372	86.45159663
373	86.38230486
374	86.35178533
375	86.27743239
376	86.21565663
377	86.14678003
378	86.09174977
379	86.00990789
380	85.94848126
381	85.86118516
382	85.78566578
383	85.7452175
384	85.66617395
385	85.6051282
386	85.52686572
387	85.47118711
388	85.41111706
389	85.3521075
390	85.29774866
391	85.20214593
392	85.14113989
393	85.08336936
394	85.02379147
395	84.97735684
396	84.92401358
397	84.90030581
398	84.84713371
399	84.80312232
400	84.75899298
401	84.66994183
402	84.62814116
403	84.57133216
404	84.49980115
405	84.42663195
406	84.35051387
407	84.30104496
408	84.26887511
409	84.20481917
410	84.16985936
411	84.11240854
412	84.07968425
413	84.01575496
414	83.99089527
415	83.97039164
416	83.92819354
417	83.85743051
418	83.76679879
419	83.70484482
420	83.64257253
421	83.59623554
422	83.56345777
423	83.49557985
424	83.45648756
425	83.4229274
426	83.37429816
427	83.29203198
428	83.19649238
429	83.14695694
430	83.09238591
431	83.04724376
432	83.01566601
433	82.92696342
434	82.89836086
435	82.84186426
436	82.79353574
437	82.76327464
438	82.71047123
439	82.65241703
440	82.62953674
441	82.55796522
442	82.47866563
443	82.41828849
444	82.38724706
445	82.33596938
446	82.29735243
447	82.21411928
448	82.175422
449	82.14968528
450	82.10532895
451	82.04450392
452	82.00042961
453	81.9709252
454	81.93600816
455	81.87079207
456	81.79892139
457	81.77428818
458	81.69892326
459	81.67027001
460	81.62155358
461	81.53939237
462	81.48342574
463	81.43567385
464	81.37891184
465	81.32481814
466	81.24843417
467	81.19811401
468	81.15749111
469	81.06894531
470	81.03816577
471	80.98746175
472	80.93320069
473	80.88984517
474	80.82073799
475	80.76518546
476	80.64757806
477	80.61084504
478	80.5883368
479	80.52477113
480	80.43979007
481	80.38968467
482	80.36840569
483	80.33998596
484	80.29523059
485	80.24230693
486	80.17689383
487	80.11628789
488	80.03955976
489	80.00586603
490	79.98589351
491	79.9662636
492	79.91092794
493	79.86886709
494	79.78678402
495	79.75669686
496	79.73313012
497	79.71434957
498	79.67950929
499	79.65453925
500	79.63739646
501	79.558071
502	79.52384215
503	79.49724202
504	79.41580674
505	79.38492343
506	79.31614197
507	79.26588732
508	79.23919629
509	79.19821012
510	79.15421311
511	79.14138313
512	79.12234177
513	79.07196356
514	79.03716929
515	79.01527836
516	78.99604529
517	78.95456313
518	78.88127605
519	78.83634095
520	78.78850568
521	78.75393368
522	78.68660874
523	78.63482367
524	78.60167648
525	78.58404074
526	78.49884823
527	78.43280338
528	78.41478048
529	78.36774559
530	78.29070064
531	78.25551972
532	78.20482213
533	78.17016703
534	78.14397862
535	78.12625531
536	78.07741102
537	78.06071772
538	78.03910589
539	77.9688141
540	77.95174931
541	77.9276564
542	77.86304289
543	77.81357191
544	77.7027943
545	77.67099229
546	77.60663243
547	77.54748652
548	77.53478358
549	77.504897
550	77.42901527
551	77.40335185
552	77.34461274
553	77.29979149
554	77.2094211
555	77.16604503
556	77.09620036
557	77.05092265
558	76.91450988
559	76.86641839
560	76.82134171
561	76.75198153
562	76.7103735
563	76.67078312
564	76.64160566
565	76.62504365
566	76.59002994
567	76.5521155
568	76.51297856
569	76.47515122
570	76.36768265
571	76.33083229
572	76.28747229
573	76.20710094
574	76.17815215
575	76.13664922
576	76.08224569
577	76.02316846
578	75.99353578
579	75.94555925
580	75.91479642
581	75.8578219
582	75.79159897
583	75.74626337
584	75.71730819
585	75.70066082
586	75.67672646
587	75.60938564
588	75.58891036
589	75.56448749
590	75.508483
591	75.48320705
592	75.45991345
593	75.4304111
594	75.36244643
595	75.31145921
596	75.20701743
597	75.14982374
598	75.11586876
599	75.07606964
600	75.049185
601	74.98809857
602	74.95706536
603	74.91913089
604	74.86402236
605	74.81720629
606	74.75402094
607	74.71320248
608	74.66439683
609	74.6247732
610	74.58694583
611	74.54783053
612	74.51919098
613	74.49377944
614	74.44246567
615	74.39181862
616	74.36676584
617	74.33118126
618	74.29016102
619	74.24561947
620	74.22590414
621	74.13800997
622	74.11412368
623	74.09186131
624	74.06882384
625	74.0217394
626	74.00278278
627	73.97275267
628	73.94646491
629	73.92511232
630	73.91304015
631	73.89216186
632	73.80604855
633	73.7727985
634	73.74437681
635	73.72778594
636	73.65588005
637	73.61957639
638	73.57184221
639	73.51720549
640	73.49849199
641	73.46161732
642	73.43953956
643	73.38310688
644	73.35989821
645	73.33495434
646	73.31088709
647	73.27803031
648	73.1816991
