﻿"* MH (Multifield Hourly Data Format)"
"* 以 '*' 字元開頭的文字為格式說明"
"* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組"
********************************************************************************
"* 格式說明:"
"* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位"
"* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元"
"* 時間為當地時間(LocalTime)"
"* yyyy:西元年"
"* mm:月"
"* dd:日"
"* hh:時"
********************************************************************************
"* 欄位標題說明:"
"* CD01 高雲高度(km)"
"* CD02 中雲高度(km)"
"* CD03 低雲高度(km)"
"* CD04 高雲量(10分量)"
"* CD05 中雲量(10分量)"
"* CD06 低雲量(10分量)"
"* CD07 高雲狀"
"* CD08 中雲狀"
"* CD09 低雲狀"
"* CD10 雲冪高(km)"
"* CD11 總雲量(10分量)"
"* EP05 A型蒸發量(mm)"
"* GR01 全天空日射量(MJ/㎡)"
"* PP01 降水量(mm)"
"* PP02 降水時數(hour)"
"* PS01 測站氣壓(hPa)"
"* PS02 海平面氣壓(hPa)"
"* PS11 氣壓趨勢"
"* RH01 相對溼度(%)"
"* SS01 日照時數(hour)"
"* ST01 天空狀況"
"* ST02 地面狀況"
"* ST03 雷暴"
"* ST04 液態降水1"
"* ST05 液態降水2"
"* ST06 固態降水1"
"* ST07 固態降水2"
"* ST08 固態降水3"
"* ST09 視障1"
"* ST10 視障2"
"* ST11 光象1"
"* ST12 光象2"
"* TD01 露點溫度(℃)"
"* TS01 地表溫度0cm(℃)"
"* TS02 地中溫度5cm(℃)"
"* TS03 地中溫度10cm(℃)"
"* TS04 地中溫度20cm(℃)"
"* TS05 地中溫度30cm(℃)"
"* TS06 地中溫度50cm(℃)"
"* TS07 地中溫度100cm(℃)"
"* TW01 溼球溫度(℃)"
"* TX01 氣溫(℃)"
"* TX02 絕對最高氣溫(℃)"
"* TX04 絕對最低氣溫(℃)"
"* VP01 水氣壓(hPa)"
"* VP06 飽和水氣壓(hPa)"
"* VS01 能見度(km)"
"* WD01 平均風風速(m/s)"
"* WD02 平均風風向(360 degree)"
"* WD04 最大平均風風速(m/s)"
"* WD05 最大平均風風向(360 degree)"
"* WD07 最大瞬間風風速(m/s)"
"* WD08 最大瞬間風風向(360 degree)"
"* UV01 紫外線指數"
********************************************************************************
"* 特殊值:"
"* -999.1:儀器故障待修"
"* -9.6/-999.6:資料累計於後"
"* -9.5/-99.5/-999.5/-999.5/-9999.5:因故障而無資料"
"* -9.7/-99.7/-999.7/-999.7/-9999.7:因不明原因而無資料"
"* -9.8:雨跡(Trace)"
"* None:未觀測而無資料"
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     VS01,     UV01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466990, 2024110308,   1016.8,   1019.0,     24.1,     21.8,       87,      1.6,    240.0,      2.6,    230.0,      0.0,      0.0,      0.0,     0.46,     20.0,     0.58,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110309,   1017.1,   1019.3,     25.2,     21.5,       80,      1.2,    100.0,      2.9,     80.0,      0.0,      0.0,      0.0,     0.85,     20.0,     1.72,      8.0,     24.0,     23.4,     23.5,     23.7,     24.7,     25.9,     26.6
466990, 2024110310,   1017.1,   1019.3,     26.2,     20.1,       69,      5.5,     30.0,      8.1,     50.0,      0.0,      0.0,      0.7,     1.95,     None,     4.57,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110311,   1016.7,   1018.9,     26.3,     19.7,       67,      5.7,     40.0,     10.1,     50.0,      0.0,      0.0,      0.4,     2.05,     15.0,     5.62,      8.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110312,   1015.9,   1018.1,     25.9,     20.0,       70,      4.2,     30.0,     10.0,     40.0,      0.0,      0.0,      0.0,     1.29,     None,     4.11,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110313,   1015.0,   1017.2,     25.6,     19.7,       70,      5.6,     30.0,      9.3,     40.0,      0.0,      0.0,      0.0,     0.74,     None,     2.53,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110314,   1014.4,   1016.6,     25.8,     19.7,       69,      4.6,     30.0,      9.7,     20.0,      0.0,      0.0,      0.0,     0.77,     15.0,     2.33,     10.0,     25.2,     25.1,     25.3,     24.7,     25.0,     25.8,     26.6
466990, 2024110315,   1014.7,   1016.9,     25.8,     19.5,       68,      4.6,     30.0,      9.1,     20.0,      0.0,      0.0,      0.0,      0.7,     None,     1.62,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110316,   1014.8,   1017.0,     25.6,     20.0,       71,      4.5,     30.0,      8.1,     40.0,      0.0,      0.0,      0.0,     0.41,     None,     0.68,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110317,   1015.0,   1017.2,     25.1,     19.9,       73,      3.1,     20.0,      7.5,    360.0,      0.0,      0.0,      0.0,     0.12,     15.0,     0.15,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110318,   1015.3,   1017.5,     24.9,     20.0,       74,      2.7,     10.0,      6.3,     20.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110319,   1015.8,   1018.0,     24.5,     20.0,       76,      1.1,    320.0,      4.1,     10.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110320,   1016.4,   1018.6,     24.5,     20.0,       76,      1.6,    350.0,      2.9,    340.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110321,   1016.6,   1018.8,     23.9,     20.0,       79,      1.0,    310.0,      1.8,    240.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     23.6,     23.9,     24.3,     24.8,     25.4,     26.0,     26.6
466990, 2024110322,   1016.8,   1019.0,     23.2,     20.2,       83,      1.7,    230.0,      2.8,    290.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110323,   1016.7,   1018.9,     23.2,     20.5,       85,      1.9,    240.0,      3.5,    240.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110324,   1016.7,   1018.9,     23.1,     20.6,       86,      2.6,    250.0,      4.2,    240.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110401,   1016.3,   1018.5,     23.1,     20.4,       85,      1.9,    270.0,      4.0,    260.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110402,   1015.8,   1018.0,     23.0,     20.4,       85,      2.0,    260.0,      3.2,    250.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110403,   1015.7,   1017.9,     22.9,     20.3,       85,      2.3,    260.0,      3.2,    280.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110404,   1015.3,   1017.5,     22.6,     20.0,       85,      1.5,    270.0,      3.5,    250.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110405,   1014.9,   1017.1,     21.8,     19.7,       88,      2.5,    240.0,      3.5,    240.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     22.5,     22.9,     23.4,     23.9,     24.9,     25.9,     26.6
466990, 2024110406,   1015.3,   1017.6,     21.5,     19.6,       89,      2.2,    240.0,      4.2,    250.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110407,   1016.0,   1018.3,     21.9,     20.0,       89,      2.1,    240.0,      4.2,    260.0,      0.0,      0.0,      0.7,     0.23,     None,     0.11,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110408,   1016.4,   1018.6,     24.5,     20.6,       79,      1.2,    280.0,      3.8,    260.0,      0.0,      0.0,      1.0,     0.89,     25.0,     0.85,      2.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110409,   1016.6,   1018.8,     26.7,     20.3,       68,      0.9,     90.0,      2.3,    290.0,      0.0,      0.0,      1.0,     1.68,     25.0,     2.56,      2.0,     22.8,     22.6,     22.9,     23.5,     24.7,     25.8,     26.6
466990, 2024110410,   1016.1,   1018.3,     27.7,     20.3,       64,      4.2,     30.0,      7.2,     20.0,      0.0,      0.0,      1.0,     2.31,     None,     4.83,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110411,   1015.5,   1017.7,     28.0,     20.3,       63,      4.0,     50.0,      8.0,     50.0,      0.0,      0.0,      1.0,     2.77,     15.0,     6.84,      5.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110412,   1014.9,   1017.1,     28.1,     20.9,       65,      4.8,     50.0,      8.8,     30.0,      0.0,      0.0,      1.0,     2.79,     None,     7.51,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110413,   1013.9,   1016.1,     27.7,     21.5,       69,      5.1,     50.0,      9.0,     50.0,      0.0,      0.0,      0.8,     2.37,     None,     6.59,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110414,   1013.6,   1015.8,     27.4,     22.1,       73,      6.3,     40.0,      9.9,     80.0,      0.0,      0.0,      0.9,     2.25,     15.0,     5.25,      4.0,     27.7,     27.2,     26.7,     25.0,     25.0,     25.7,     26.6
466990, 2024110415,   1014.0,   1016.2,     26.1,     21.1,       74,      5.3,     20.0,     10.7,     30.0,      0.0,      0.0,      0.4,     1.02,     None,     2.57,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110416,   1014.4,   1016.6,     25.0,     21.3,       80,      6.2,     30.0,      9.9,     20.0,     -9.8,      0.1,      0.0,     0.35,     None,     0.64,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110417,   1014.8,   1017.0,     24.5,     21.4,       83,      4.8,     30.0,     10.6,     20.0,     -9.8,      0.3,      0.0,     0.03,     10.0,     0.03,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110418,   1015.2,   1017.4,     23.9,     21.4,       86,      5.4,     20.0,      9.9,     30.0,      1.0,      0.7,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110419,   1015.8,   1018.0,     24.4,     20.5,       79,      5.4,     20.0,     11.5,     50.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110420,   1016.4,   1018.6,     24.7,     18.9,       70,      7.1,     30.0,     13.1,     20.0,      0.0,      0.0,     None,     0.01,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110421,   1016.9,   1019.1,     24.9,     18.6,       68,      4.8,     30.0,     14.5,     30.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     23.6,     24.3,     25.0,     25.7,     26.1,     26.1,     26.6
466990, 2024110422,   1017.0,   1019.2,     24.9,     18.1,       66,      6.0,     30.0,     13.2,     30.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110423,   1016.7,   1018.9,     24.9,     17.9,       65,      5.4,     30.0,     11.3,     40.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110424,   1015.9,   1018.1,     24.7,     17.7,       65,      2.8,     20.0,     10.6,     20.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110501,   1015.2,   1017.4,     23.6,     18.3,       72,      0.8,    240.0,      6.5,    350.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110502,   1015.1,   1017.3,     22.8,     18.8,       78,      2.4,    250.0,      3.9,    240.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110503,   1014.9,   1017.1,     22.8,     19.0,       79,      3.0,    240.0,      4.6,    230.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110504,   1014.5,   1016.7,     22.4,     19.0,       81,      2.4,    230.0,      4.1,    240.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110505,   1015.1,   1017.3,     22.6,     18.8,       79,      1.5,    270.0,      4.1,    250.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     22.7,     23.0,     23.5,     24.3,     25.3,     26.0,     26.6
466990, 2024110506,   1015.9,   1018.1,     22.1,     18.7,       81,      2.1,    270.0,      3.5,    270.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110507,   1016.6,   1018.9,     21.8,     18.8,       83,      2.6,    220.0,      4.9,    210.0,      0.0,      0.0,      0.2,     0.13,     None,     0.11,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110508,   1017.8,   1020.0,     24.6,     19.0,       71,      1.4,    310.0,      5.2,    220.0,      0.0,      0.0,      1.0,     0.88,     20.0,     0.84,      1.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110509,   1017.0,   1019.2,     26.3,     18.5,       62,      2.5,    270.0,      4.0,    260.0,      0.0,      0.0,      1.0,     1.66,     25.0,     2.56,      1.0,     22.7,     22.7,     23.1,     23.8,     25.0,     25.9,     26.6
466990, 2024110510,   1016.6,   1018.8,     26.8,     18.4,       60,      1.9,    110.0,      3.7,    150.0,      0.0,      0.0,      0.9,      2.2,     None,     4.73,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110511,   1015.6,   1017.8,     27.7,     19.0,       59,      4.9,     30.0,      8.7,     40.0,      0.0,      0.0,      0.7,     2.35,     25.0,     6.15,      1.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110512,   1014.9,   1017.1,     27.2,     19.8,       64,      7.4,     30.0,     13.2,     20.0,      0.0,      0.0,      0.9,     2.64,     None,     7.32,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110513,   1013.9,   1016.1,     27.7,     20.3,       64,      6.3,     40.0,     14.4,     20.0,      0.0,      0.0,      1.0,     2.83,     None,     7.33,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110514,   1013.9,   1016.1,     26.7,     19.8,       66,      6.5,     40.0,     14.9,     30.0,      0.0,      0.0,      0.7,     2.13,     20.0,     5.09,      8.0,     27.0,     26.9,     26.5,     25.0,     25.1,     25.8,     26.6
466990, 2024110515,   1014.0,   1016.2,     26.3,     20.6,       71,      7.4,     30.0,     15.7,     30.0,      0.0,      0.0,      0.0,     0.88,     None,     2.07,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110516,   1014.8,   1017.0,     25.5,     20.8,       75,      6.4,     30.0,     15.2,     30.0,      0.0,      0.0,      0.0,     0.39,     None,     0.66,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110517,   1015.5,   1017.7,     24.8,     20.3,       76,      6.8,     20.0,     13.8,     20.0,      0.0,      0.0,      0.0,     0.06,     15.0,     0.06,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110518,   1015.9,   1018.1,     24.4,     20.3,       78,      8.1,     30.0,     15.5,     30.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110519,   1016.7,   1018.9,     23.7,     20.3,       81,      7.9,     20.0,     15.7,     20.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110520,   1017.3,   1019.5,     23.3,     19.9,       81,      6.9,     20.0,     15.3,     20.0,     -9.8,      0.1,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110521,   1017.7,   1019.9,     23.2,     19.0,       77,      7.2,     40.0,     14.6,     40.0,     -9.8,      0.5,     None,      0.0,     None,      0.0,     None,     23.3,     24.1,     24.8,     25.6,     26.1,     26.1,     26.6
466990, 2024110522,   1017.6,   1019.8,     23.3,     18.4,       74,      7.8,     40.0,     15.9,     40.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110523,   1017.3,   1019.5,     23.3,     18.2,       73,      6.1,     20.0,     14.5,     50.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110524,   1017.0,   1019.2,     23.3,     17.5,       70,      7.7,     40.0,     15.5,     60.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110601,   1016.9,   1019.1,     23.2,     17.4,       70,      8.5,     40.0,     16.7,     20.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110602,   1016.8,   1019.0,     23.0,     17.0,       69,      7.8,     40.0,     15.1,     50.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110603,   1016.7,   1018.9,     22.8,     16.8,       69,      7.0,     40.0,     16.1,     40.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110604,   1016.5,   1018.7,     22.9,     16.2,       66,      9.1,     40.0,     15.9,     40.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110605,   1016.5,   1018.7,     22.9,     15.5,       63,      8.5,     30.0,     15.3,     20.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     21.5,     22.2,     23.0,     24.0,     25.2,     26.0,     26.6
466990, 2024110606,   1017.1,   1019.3,     23.0,     16.1,       65,      8.0,     40.0,     15.1,     40.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110607,   1017.9,   1020.1,     23.2,     15.5,       62,      9.1,     40.0,     17.1,     40.0,      0.0,      0.0,      0.0,     0.07,     None,     0.05,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110608,   1018.6,   1020.8,     23.4,     15.0,       59,      9.0,     40.0,     17.3,     30.0,      0.0,      0.0,      0.0,     0.33,     15.0,     0.42,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110609,   1019.1,   1021.3,     23.8,     15.6,       60,      9.1,     40.0,     16.8,     30.0,      0.0,      0.0,      0.0,     0.55,     15.0,     1.25,     10.0,     21.6,     22.0,     22.6,     23.5,     24.8,     25.8,     26.6
466990, 2024110610,   1019.5,   1021.7,     23.7,     16.3,       63,      7.8,     40.0,     18.3,     40.0,      0.0,      0.0,      0.0,     0.81,     None,     2.28,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110611,   1019.3,   1021.5,     23.8,     16.1,       62,      8.4,     40.0,     16.8,     50.0,      0.0,      0.0,      0.0,     0.79,     15.0,     2.62,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110612,   1018.5,   1020.7,     24.1,     15.6,       59,      7.5,     40.0,     16.4,     40.0,      0.0,      0.0,      0.0,      1.0,     None,     3.33,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110613,   1017.7,   1019.9,     24.4,     15.6,       58,      8.9,     40.0,     16.1,     50.0,      0.0,      0.0,      0.0,      1.5,     None,     4.59,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110614,   1017.7,   1019.9,     23.6,     16.4,       64,      8.8,     40.0,     17.4,     60.0,      0.0,      0.0,      0.0,     1.22,     15.0,     3.35,      9.0,     23.3,     23.4,     23.7,     23.7,     24.6,     25.6,     26.6
466990, 2024110615,   1017.6,   1019.8,     23.5,     16.1,       63,      6.9,     30.0,     17.5,     30.0,      0.0,      0.0,      0.0,     0.82,     None,     1.81,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110616,   1017.7,   1019.9,     23.1,     14.7,       59,      9.4,     30.0,     17.1,     30.0,      0.0,      0.0,      0.0,     0.48,     None,     0.77,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110617,   1017.9,   1020.1,     22.9,     14.5,       59,     10.0,     40.0,     17.6,     40.0,      0.0,      0.0,      0.0,     0.16,     15.0,     0.14,      9.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110618,   1018.5,   1020.7,     23.0,     14.8,       60,      8.6,     40.0,     17.1,     40.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110619,   1018.7,   1020.9,     22.8,     15.4,       63,      9.1,     40.0,     15.9,     40.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110620,   1018.9,   1021.1,     22.9,     14.5,       59,      7.0,     40.0,     16.6,     50.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110621,   1019.6,   1021.9,     22.4,     15.0,       63,      8.1,     50.0,     15.8,     60.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     21.3,     21.9,     22.7,     23.6,     24.7,     25.5,     26.6
466990, 2024110622,   1019.5,   1021.8,     22.5,     14.6,       61,      9.0,     40.0,     16.1,     50.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110623,   1019.3,   1021.6,     22.6,     14.5,       60,      7.9,     30.0,     14.1,     40.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110624,   1018.7,   1021.0,     22.4,     14.3,       60,      6.5,     30.0,     13.6,     50.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110701,   1017.9,   1020.1,     22.6,     13.9,       58,      6.2,     40.0,     12.4,     40.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110702,   1017.6,   1019.9,     22.4,     15.3,       64,      6.5,     30.0,     14.6,     30.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110703,   1017.4,   1019.6,     22.5,     14.4,       60,      6.0,     30.0,     13.3,     20.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110704,   1017.0,   1019.2,     22.4,     14.5,       61,      5.9,     30.0,     13.2,     30.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110705,   1017.4,   1019.6,     22.5,     14.4,       60,      2.2,    330.0,     10.6,     10.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     20.6,     21.0,     21.7,     22.6,     24.0,     25.2,     26.5
466990, 2024110706,   1018.5,   1020.8,     22.3,     15.2,       64,      2.1,     30.0,      7.9,     40.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110707,   1018.9,   1021.2,     22.1,     17.0,       73,      4.3,     30.0,     10.4,     30.0,      0.0,      0.0,      0.0,     0.03,     None,     0.03,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110708,   1019.4,   1021.7,     22.4,     16.7,       70,      1.2,    310.0,      5.7,     30.0,      0.0,      0.0,      0.0,     0.16,     15.0,      0.3,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110709,   1019.7,   1022.0,     23.0,     17.3,       70,      4.4,     20.0,     11.3,     40.0,      0.0,      0.0,      0.0,     0.37,     15.0,      1.0,     10.0,     21.3,     21.3,     21.7,     22.4,     23.7,     25.0,     26.5
466990, 2024110710,   1019.0,   1021.2,     25.0,     18.0,       65,      5.2,     30.0,      9.7,     20.0,      0.0,      0.0,      0.3,      1.5,     None,     3.51,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110711,   1018.6,   1020.8,     24.1,     17.4,       66,      3.0,     30.0,      8.9,     30.0,      0.0,      0.0,      0.1,     1.11,     15.0,     3.45,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110712,   1018.4,   1020.6,     24.4,     18.6,       70,      6.1,     30.0,     11.8,     50.0,      0.0,      0.0,      0.0,     1.01,     None,     3.47,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110713,   1017.5,   1019.7,     23.9,     18.3,       71,      5.4,     20.0,     11.3,     40.0,      0.0,      0.0,      0.0,     1.07,     None,      3.4,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110714,   1017.0,   1019.2,     24.8,     17.8,       65,      4.4,     20.0,      9.6,     20.0,      0.0,      0.0,      0.2,     1.52,     20.0,     3.83,      8.0,     24.0,     23.5,     23.5,     23.1,     23.8,     24.9,     26.5
466990, 2024110715,   1016.9,   1019.1,     24.1,     18.3,       70,      5.2,     30.0,     10.4,     60.0,      0.0,      0.0,      0.0,     0.56,     None,     1.39,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110716,   1017.2,   1019.4,     23.7,     18.6,       73,      5.4,     20.0,      9.4,     20.0,      0.0,      0.0,      0.0,     0.09,     None,     0.18,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110717,   1017.6,   1019.8,     23.7,     19.0,       75,      4.3,     20.0,     10.5,     40.0,      0.0,      0.0,      0.0,     0.04,     10.0,     0.04,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110718,   1018.0,   1020.2,     22.9,     19.3,       80,      3.5,     10.0,      8.6,     20.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110719,   1018.4,   1020.6,     22.8,     19.6,       82,      5.7,     40.0,     10.7,     30.0,     -9.8,      0.2,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110720,   1018.8,   1021.1,     22.7,     19.9,       84,      5.1,     40.0,     10.1,     30.0,     -9.8,      0.3,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110721,   1018.4,   1020.7,     22.5,     19.7,       84,      3.0,     20.0,      9.5,     30.0,     -9.8,      0.1,     None,      0.0,     None,      0.0,     None,     22.2,     22.5,     23.0,     23.5,     24.3,     25.0,     26.4
466990, 2024110722,   1018.4,   1020.7,     22.6,     19.6,       83,      2.8,    360.0,      6.1,    340.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110723,   1017.6,   1019.8,     22.6,     19.4,       82,      2.5,     10.0,      6.7,     20.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110724,   1017.3,   1019.5,     22.7,     19.3,       81,      2.2,    360.0,      4.9,     20.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110801,   1016.7,   1018.9,     23.3,     19.9,       81,      4.2,     30.0,      7.6,     60.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110802,   1016.7,   1018.9,     23.0,     20.0,       83,      4.7,     30.0,     10.2,     30.0,     -9.8,      0.4,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
