﻿"* MH (Multifield Hourly Data Format)"
********************************************************************************
"* Users Information:"
"* (column:1~6)stno: station number (8~17)yyyymmddhh: date of record (18~24): observation data"
"* all observation uses local time=UTC+08:00"
"* yyyy: year"
"* mm: month"
"* dd: day"
"* hh: hour"
********************************************************************************
"* CD01 High Cloud Height(Km)"
"* CD02 Medium Cloud Height(Km)"
"* CD03 Low Cloud Height(Km)"
"* CD04 High Cloud Amount(0-10)"
"* CD05 Medium Cloud Amount(0-10)"
"* CD06 Low Cloud Amount(0-10)"
"* CD07 High Cloud Form"
"* CD08 Medium Cloud Form"
"* CD09 Low Cloud Form"
"* CD10 Ceiling(Km)"
"* CD11 Total Cloud Amount(0-10)"
"* EP03 Class A Pan Evaporation(mm)"
"* PP01 Precipitation(mm)"
"* PP02 Precipitation Hours(hr)"
"* PS01 Station Pressure(hPa)"
"* PS02 Sea Level Pressure(hPa)"
"* RH01 Relative Humidity(%)"
"* RH02 Vapor Pressure(hPa)"
"* ST01 State of the Sky"
"* ST02 State of the Ground"
"* ST03 Thunderstorm"
"* ST04 Liquid Precipitation Type 1"
"* ST05 Liquid Precipitation Type 2"
"* ST06 Solid Precipitation Type 1"
"* ST07 Solid Precipitation Type 2"
"* ST08 Solid Precipitation Type 3"
"* ST09 Obscuration Type 1"
"* ST10 Obscuration Type 2"
"* ST11 Photometeors Type 1"
"* ST12 Photometeors Type 2"
"* SS01 Sunshine Duration(hr)"
"* SS02 Global Solar Radiation(MJ/㎡)"
"* SS03 Net Radiation(MJ/㎡)"
"* TS01 Surface Temperature(℃)"
"* TS02 Temperature at Depth of 5cm(℃)"
"* TS03 Temperature at Depth of 10cm(℃)"
"* TS04 Temperature at Depth of 20cm(℃)"
"* TS05 Temperature at Depth of 30cm(℃)"
"* TS06 Temperature at Depth of 50cm(℃)"
"* TS07 Temperature at Depth of 100cm(℃)"
"* TX01 Temperature(℃)"
"* TX02 Absolute Maximum Temperature(℃)"
"* TX03 Absolute Minimum Temperature(℃)"
"* TX04 Wet Bulb Temperature(℃)"
"* TX05 Dew Point Temperature(℃)"
"* VS01 Visibility(Km)"
"* WD01 Wind Speed(m/s)"
"* WD02 Wind Direction(360 degree)"
"* WD03 Maximum Wind Speed(m/s)"
"* WD04 Maximum Wind Direction(360 degree)"
"* WD05 Gust(m/s)"
"* WD06 Gust Direction(360 degree)"
********************************************************************************
"* special code of record:"
"* -9991: instrument malfunction"
"* -9996: data aggregated later"
"* -9997: data unavailable/failure for unknown reason"
"* -9998: Trace"
"* -9999: no observation"
********************************************************************************
# stno, yyyymmddhh,     PS01,     TX01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01
C0Z100, 2024080101,   1005.1,     25.7,       98,      0.0,      0.0,      0.9,    217.0,      0.0
C0Z100, 2024080102,   1004.9,     25.4,       99,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024080103,   1004.8,     25.3,      100,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024080104,   1005.0,     25.0,      100,      0.0,      0.0,      0.4,    223.0,      0.0
C0Z100, 2024080105,   1005.1,     25.0,      100,      0.0,      0.0,      0.4,    158.0,      0.0
C0Z100, 2024080106,   1005.6,     25.1,       99,      0.2,      0.0,      1.1,    219.0,      0.0
C0Z100, 2024080107,   1005.8,     29.1,       86,      0.0,      0.0,      1.2,    198.0,      0.0
C0Z100, 2024080108,   1006.1,     31.2,       75,      0.2,      0.0,      1.9,    192.0,      0.0
C0Z100, 2024080109,   1006.0,     33.2,       70,      0.5,     97.0,      2.1,    128.0,      0.0
C0Z100, 2024080110,   1005.9,     33.3,       73,      1.3,     69.0,      3.9,    116.0,      0.0
C0Z100, 2024080111,   1005.5,     32.6,       72,      2.0,     50.0,      5.1,     72.0,      0.0
C0Z100, 2024080112,   1004.9,     33.3,       69,      1.8,     63.0,      4.9,    100.0,      0.0
C0Z100, 2024080113,   1004.5,     33.6,       64,      1.6,     50.0,      4.2,     32.0,      0.0
C0Z100, 2024080114,   1004.2,     33.9,       68,      1.2,     83.0,      5.0,    104.0,      0.0
C0Z100, 2024080115,   1004.1,     34.0,       67,      1.5,     54.0,      4.3,    109.0,      0.0
C0Z100, 2024080116,   1004.1,     32.6,       73,      1.2,     51.0,      4.0,    104.0,      0.0
C0Z100, 2024080117,   1003.9,     31.0,       79,      0.7,     50.0,      2.6,     57.0,      0.0
C0Z100, 2024080118,   1003.6,     30.0,       83,      0.5,     43.0,      3.0,     22.0,      0.0
C0Z100, 2024080119,   1003.9,     28.6,       91,      0.0,      0.0,      1.9,     40.0,      0.0
C0Z100, 2024080120,   1004.1,     28.0,       95,      0.0,      0.0,      0.9,     49.0,      0.0
C0Z100, 2024080121,   1004.2,     27.3,       97,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024080122,   1004.5,     27.0,       98,      0.0,      0.0,      0.3,     74.0,      0.0
C0Z100, 2024080123,   1004.6,     26.4,       97,      0.0,      0.0,      0.9,    200.0,      0.0
C0Z100, 2024080124,   1004.6,     26.1,       99,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024080201,   1004.2,     25.6,       98,      0.0,      0.0,      0.6,    215.0,      0.0
C0Z100, 2024080202,   1004.1,     25.3,       98,      0.0,      0.0,      0.7,    210.0,      0.0
C0Z100, 2024080203,   1003.9,     25.2,       99,      0.0,      0.0,      0.8,    206.0,      0.0
C0Z100, 2024080204,   1003.9,     24.9,       99,      0.0,      0.0,      0.6,    211.0,      0.0
C0Z100, 2024080205,   1003.9,     24.6,       98,      0.2,      0.0,      1.2,    240.0,      0.0
C0Z100, 2024080206,   1004.2,     25.1,       98,      0.1,      0.0,      1.5,    258.0,      0.0
C0Z100, 2024080207,   1004.3,     28.7,       85,      0.8,    229.0,      3.0,    229.0,      0.0
C0Z100, 2024080208,   1004.4,     31.1,       75,      0.6,    229.0,      2.6,    230.0,      0.0
C0Z100, 2024080209,   1004.4,     33.1,       65,      0.7,    213.0,      2.3,    207.0,      0.0
C0Z100, 2024080210,   1004.0,     33.8,       62,      0.6,     72.0,      2.1,    292.0,      0.0
C0Z100, 2024080211,   1003.7,     34.4,       63,      1.3,     73.0,      3.1,     78.0,      0.0
C0Z100, 2024080212,   1003.1,     34.1,       65,      1.4,     58.0,      3.6,     15.0,      0.0
C0Z100, 2024080213,   1002.8,     34.2,       66,      1.3,     63.0,      4.2,     72.0,      0.0
C0Z100, 2024080214,   1003.1,     33.7,       70,      1.7,     61.0,      4.6,     85.0,      0.0
C0Z100, 2024080215,   1002.9,     32.5,       73,      1.4,     79.0,      5.3,     90.0,      0.0
C0Z100, 2024080216,   1002.9,     33.0,       71,      1.1,     62.0,      4.0,     77.0,      0.0
C0Z100, 2024080217,   1003.2,     30.9,       79,      0.7,     85.0,      3.4,    111.0,      0.0
C0Z100, 2024080218,   1003.6,     30.0,       84,      0.6,     47.0,      2.7,     66.0,      0.0
C0Z100, 2024080219,   1004.2,     29.4,       89,      0.2,      0.0,      2.3,     65.0,      0.0
C0Z100, 2024080220,   1004.3,     28.4,       93,      0.0,      0.0,      1.6,     47.0,      0.0
C0Z100, 2024080221,   1005.2,     27.8,       97,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024080222,   1005.6,     28.0,       97,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024080223,   1005.7,     27.2,       97,      0.2,      0.0,      1.0,    212.0,      0.0
C0Z100, 2024080224,   1005.4,     26.8,       97,      0.0,      0.0,      0.9,    216.0,      0.0
C0Z100, 2024080301,   1004.8,     26.4,       97,      0.0,      0.0,      1.6,    211.0,      0.0
C0Z100, 2024080302,   1004.2,     25.9,       98,      0.0,      0.0,      1.1,    215.0,      0.0
C0Z100, 2024080303,   1004.2,     25.4,       99,      0.0,      0.0,      0.4,    207.0,      0.0
C0Z100, 2024080304,   1004.2,     25.1,       98,      0.0,      0.0,      0.7,    200.0,      0.0
C0Z100, 2024080305,   1004.0,     24.9,       98,      0.2,      0.0,      1.2,    209.0,      0.0
C0Z100, 2024080306,   1004.5,     25.0,       98,      0.0,      0.0,      0.9,    226.0,      0.0
C0Z100, 2024080307,   1004.8,     28.8,       86,      0.8,    217.0,      2.0,    215.0,      0.0
C0Z100, 2024080308,   1005.3,     31.2,       72,      1.0,    236.0,      2.7,    213.0,      0.0
C0Z100, 2024080309,   1005.3,     33.1,       64,      0.6,     88.0,      2.0,    192.0,      0.0
C0Z100, 2024080310,   1005.1,     34.3,       60,      0.8,     44.0,      2.8,     13.0,      0.0
C0Z100, 2024080311,   1005.2,     34.7,       56,      1.2,     63.0,      3.2,     83.0,      0.0
C0Z100, 2024080312,   1005.0,     34.9,       55,      1.3,     66.0,      3.6,     88.0,      0.0
C0Z100, 2024080313,   1004.7,     35.2,       55,      1.1,     36.0,      3.8,     38.0,      0.0
C0Z100, 2024080314,   1004.4,     34.9,       56,      1.0,     54.0,      4.6,     47.0,      0.0
C0Z100, 2024080315,   1004.2,     35.3,       56,      0.9,     44.0,      3.9,    108.0,      0.0
C0Z100, 2024080316,   1003.8,     34.7,       57,      1.0,     37.0,      3.3,     15.0,      0.0
C0Z100, 2024080317,   1003.9,     32.3,       67,      0.2,      0.0,      2.9,     45.0,      0.0
C0Z100, 2024080318,   1004.0,     31.1,       75,      0.0,      0.0,      1.6,     52.0,      0.0
C0Z100, 2024080319,   1004.4,     29.4,       86,      0.0,      0.0,      1.4,     39.0,      0.0
C0Z100, 2024080320,   1005.0,     28.7,       89,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024080321,   1005.5,     28.4,       95,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024080322,   1005.7,     28.0,       94,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024080323,   1005.8,     27.4,       97,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024080324,   1005.8,     27.3,       97,      0.0,      0.0,      0.8,    360.0,      0.0
C0Z100, 2024080401,   1005.0,     26.8,       97,      0.0,      0.0,      0.6,    122.0,      0.0
C0Z100, 2024080402,   1004.4,     26.1,       98,      0.0,      0.0,      0.8,    214.0,      0.0
C0Z100, 2024080403,   1004.3,     25.9,       98,      0.0,      0.0,      0.6,    210.0,      0.0
C0Z100, 2024080404,   1004.1,     25.8,       98,      0.1,      0.0,      1.2,    206.0,      0.0
C0Z100, 2024080405,   1003.8,     25.8,       97,      0.1,      0.0,      1.6,    242.0,      0.0
C0Z100, 2024080406,   1004.1,     25.7,       98,      0.0,      0.0,      1.6,    277.0,      0.0
C0Z100, 2024080407,   1004.6,     29.4,       82,      0.4,    209.0,      1.4,    228.0,      0.0
C0Z100, 2024080408,   1004.8,     31.8,       72,      0.3,    189.0,      1.4,    198.0,      0.0
C0Z100, 2024080409,   1005.1,     33.0,       63,      0.4,    199.0,      1.7,     95.0,      0.0
C0Z100, 2024080410,   1005.1,     34.3,       61,      0.6,     38.0,      2.8,     15.0,      0.0
C0Z100, 2024080411,   1004.9,     34.4,       60,      1.0,     18.0,      3.1,     78.0,      0.0
C0Z100, 2024080412,   1004.7,     34.5,       60,      1.2,     59.0,      3.5,     93.0,      0.0
C0Z100, 2024080413,   1004.1,     34.6,       60,      1.0,     27.0,      3.7,    106.0,      0.0
C0Z100, 2024080414,   1003.8,     34.6,       55,      1.2,     89.0,      4.9,    115.0,      0.0
C0Z100, 2024080415,   1003.9,     33.5,       62,      1.3,     65.0,      4.1,     98.0,      0.0
C0Z100, 2024080416,   1003.3,     33.8,       63,      0.8,     59.0,      3.1,     32.0,      0.0
C0Z100, 2024080417,   1002.9,     31.9,       71,      0.5,     68.0,      2.6,     30.0,      0.0
C0Z100, 2024080418,   1003.1,     30.2,       79,      0.0,      0.0,      2.1,     38.0,      0.0
C0Z100, 2024080419,   1003.5,     28.6,       86,      0.0,      0.0,      0.2,      0.0,      0.0
C0Z100, 2024080420,   1003.2,     28.0,       90,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024080421,   1004.1,     27.5,       94,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024080422,   1004.8,     27.7,       94,      0.0,      0.0,      0.6,    184.0,      0.0
C0Z100, 2024080423,   1004.8,     27.5,       94,      0.0,      0.0,      0.8,    199.0,      0.0
C0Z100, 2024080424,   1004.0,     26.7,       96,      0.0,      0.0,      0.8,    199.0,      0.0
C0Z100, 2024080501,   1003.4,     26.2,       97,      0.0,      0.0,      0.1,      0.0,      0.0
C0Z100, 2024080502,   1003.0,     25.7,       98,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024080503,   1002.7,     25.2,       98,      0.0,      0.0,      1.1,    230.0,      0.0
C0Z100, 2024080504,   1002.5,     24.9,       99,      0.0,      0.0,      1.1,    204.0,      0.0
C0Z100, 2024080505,   1002.5,     24.4,       99,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024080506,   1003.1,     24.5,      100,      0.1,      0.0,      0.7,    212.0,      0.0
C0Z100, 2024080507,   1003.5,     28.2,       86,      0.3,    217.0,      1.7,    217.0,      0.0
C0Z100, 2024080508,   1003.9,     31.4,       72,      0.3,    179.0,      1.8,    238.0,      0.0
C0Z100, 2024080509,   1004.0,     32.5,       67,      0.2,      0.0,      1.6,    242.0,      0.0
C0Z100, 2024080510,   1003.3,     33.4,       62,      0.7,    216.0,      1.9,    238.0,      0.0
C0Z100, 2024080511,   1002.9,     34.2,       60,      1.0,     37.0,      3.5,     14.0,      0.0
C0Z100, 2024080512,   1002.8,     33.7,       58,      1.4,     52.0,      4.7,     95.0,      0.0
C0Z100, 2024080513,   1002.3,     34.0,       63,      0.9,     56.0,      4.6,     73.0,      0.0
C0Z100, 2024080514,   1001.9,     33.9,       60,      1.5,     83.0,      4.4,    109.0,      0.0
