﻿"* MH (Multifield Hourly Data Format)"
********************************************************************************
"* Users Information:"
"* (column:1~6)stno: station number (8~17)yyyymmddhh: date of record (18~24): observation data"
"* all observation uses local time=UTC+08:00"
"* yyyy: year"
"* mm: month"
"* dd: day"
"* hh: hour"
********************************************************************************
"* CD01 High Cloud Height(Km)"
"* CD02 Medium Cloud Height(Km)"
"* CD03 Low Cloud Height(Km)"
"* CD04 High Cloud Amount(0-10)"
"* CD05 Medium Cloud Amount(0-10)"
"* CD06 Low Cloud Amount(0-10)"
"* CD07 High Cloud Form"
"* CD08 Medium Cloud Form"
"* CD09 Low Cloud Form"
"* CD10 Ceiling(Km)"
"* CD11 Total Cloud Amount(0-10)"
"* EP03 Class A Pan Evaporation(mm)"
"* PP01 Precipitation(mm)"
"* PP02 Precipitation Hours(hr)"
"* PS01 Station Pressure(hPa)"
"* PS02 Sea Level Pressure(hPa)"
"* RH01 Relative Humidity(%)"
"* RH02 Vapor Pressure(hPa)"
"* ST01 State of the Sky"
"* ST02 State of the Ground"
"* ST03 Thunderstorm"
"* ST04 Liquid Precipitation Type 1"
"* ST05 Liquid Precipitation Type 2"
"* ST06 Solid Precipitation Type 1"
"* ST07 Solid Precipitation Type 2"
"* ST08 Solid Precipitation Type 3"
"* ST09 Obscuration Type 1"
"* ST10 Obscuration Type 2"
"* ST11 Photometeors Type 1"
"* ST12 Photometeors Type 2"
"* SS01 Sunshine Duration(hr)"
"* SS02 Global Solar Radiation(MJ/㎡)"
"* SS03 Net Radiation(MJ/㎡)"
"* TS01 Surface Temperature(℃)"
"* TS02 Temperature at Depth of 5cm(℃)"
"* TS03 Temperature at Depth of 10cm(℃)"
"* TS04 Temperature at Depth of 20cm(℃)"
"* TS05 Temperature at Depth of 30cm(℃)"
"* TS06 Temperature at Depth of 50cm(℃)"
"* TS07 Temperature at Depth of 100cm(℃)"
"* TX01 Temperature(℃)"
"* TX02 Absolute Maximum Temperature(℃)"
"* TX03 Absolute Minimum Temperature(℃)"
"* TX04 Wet Bulb Temperature(℃)"
"* TX05 Dew Point Temperature(℃)"
"* VS01 Visibility(Km)"
"* WD01 Wind Speed(m/s)"
"* WD02 Wind Direction(360 degree)"
"* WD03 Maximum Wind Speed(m/s)"
"* WD04 Maximum Wind Direction(360 degree)"
"* WD05 Gust(m/s)"
"* WD06 Gust Direction(360 degree)"
********************************************************************************
"* special code of record:"
"* -9991: instrument malfunction"
"* -9996: data aggregated later"
"* -9997: data unavailable/failure for unknown reason"
"* -9998: Trace"
"* -9999: no observation"
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     SS01,     GR01,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
72T250, 2024110101,    994.6,   1000.0,     24.7,     23.8,       94,      0.0,      0.0,      2.9,    220.0,      0.5,      0.0,      0.0,     23.5,     23.4,     24.2,     24.3,     None,     25.0,     26.0
72T250, 2024110102,    995.2,   1000.6,     25.3,     23.1,       87,      0.6,    200.0,      3.6,    210.0,      0.0,      0.0,      0.0,     23.3,     23.4,     24.2,     24.3,     None,     25.0,     26.0
72T250, 2024110103,    995.8,   1001.2,     24.6,     23.3,       92,      0.0,      0.0,      2.7,    210.0,      0.0,      0.0,      0.0,     23.3,     23.3,     24.2,     24.3,     None,     25.0,     26.0
72T250, 2024110104,    996.3,   1001.7,     25.1,     23.0,       88,      0.7,    170.0,      4.8,    240.0,      0.0,      0.0,      0.0,     23.0,     23.2,     24.2,     24.3,     None,     25.0,     26.0
72T250, 2024110105,    996.6,   1002.0,     25.6,     22.7,       84,      2.0,    220.0,      4.7,    240.0,      0.0,      0.0,      0.0,     23.0,     23.1,     24.1,     24.3,     None,     25.0,     26.0
72T250, 2024110106,    997.9,   1003.3,     24.6,     22.9,       90,      0.6,    200.0,      3.3,    210.0,      0.5,      0.0,      0.0,     23.0,     23.1,     24.1,     24.3,     None,     25.0,     26.0
72T250, 2024110107,    999.0,   1004.4,     24.2,     23.1,       93,      0.8,    230.0,      5.9,    230.0,      1.5,      0.0,     0.03,     23.0,     23.1,     24.1,     24.3,     None,     25.0,     26.0
72T250, 2024110108,   1000.0,   1005.4,     24.7,     23.6,       93,      0.7,    330.0,      3.5,    240.0,      0.5,      0.1,     0.19,     23.8,     23.6,     24.1,     24.3,     None,     25.0,     26.0
72T250, 2024110109,   1000.8,   1006.2,     25.7,     23.9,       90,      0.5,    240.0,      2.8,    330.0,      0.0,      1.0,     0.56,     24.9,     24.4,     24.5,     24.3,     None,     25.0,     26.0
72T250, 2024110110,   1001.5,   1006.8,     26.3,     23.9,       86,      0.9,    250.0,      2.8,    190.0,      0.5,      1.0,     0.55,     25.7,     24.9,     24.8,     24.4,     None,     25.0,     26.0
72T250, 2024110111,   1001.3,   1006.7,     28.3,     23.8,       76,      0.7,    300.0,      2.4,    230.0,      0.0,      1.0,     1.16,     28.8,     26.5,     25.3,     24.5,     None,     25.0,     25.9
72T250, 2024110112,   1001.1,   1006.4,     30.3,     23.7,       67,      1.2,    160.0,      2.6,    130.0,      0.0,      1.0,     2.25,     31.0,     27.6,     26.0,     24.6,     None,     25.0,     25.9
72T250, 2024110113,   1000.8,   1006.2,     31.2,     24.5,       67,      1.1,    360.0,      2.8,    320.0,      0.0,      1.0,     2.02,     30.8,     27.7,     26.4,     24.9,     None,     25.0,     25.9
