﻿"* MH (Multifield Hourly Data Format)"
********************************************************************************
"* Users Information:"
"* (column:1~6)stno: station number (8~17)yyyymmddhh: date of record (18~24): observation data"
"* all observation uses local time=UTC+08:00"
"* yyyy: year"
"* mm: month"
"* dd: day"
"* hh: hour"
********************************************************************************
"* CD01 High Cloud Height(Km)"
"* CD02 Medium Cloud Height(Km)"
"* CD03 Low Cloud Height(Km)"
"* CD04 High Cloud Amount(0-10)"
"* CD05 Medium Cloud Amount(0-10)"
"* CD06 Low Cloud Amount(0-10)"
"* CD07 High Cloud Form"
"* CD08 Medium Cloud Form"
"* CD09 Low Cloud Form"
"* CD10 Ceiling(Km)"
"* CD11 Total Cloud Amount(0-10)"
"* EP03 Class A Pan Evaporation(mm)"
"* PP01 Precipitation(mm)"
"* PP02 Precipitation Hours(hr)"
"* PS01 Station Pressure(hPa)"
"* PS02 Sea Level Pressure(hPa)"
"* RH01 Relative Humidity(%)"
"* RH02 Vapor Pressure(hPa)"
"* ST01 State of the Sky"
"* ST02 State of the Ground"
"* ST03 Thunderstorm"
"* ST04 Liquid Precipitation Type 1"
"* ST05 Liquid Precipitation Type 2"
"* ST06 Solid Precipitation Type 1"
"* ST07 Solid Precipitation Type 2"
"* ST08 Solid Precipitation Type 3"
"* ST09 Obscuration Type 1"
"* ST10 Obscuration Type 2"
"* ST11 Photometeors Type 1"
"* ST12 Photometeors Type 2"
"* SS01 Sunshine Duration(hr)"
"* SS02 Global Solar Radiation(MJ/㎡)"
"* SS03 Net Radiation(MJ/㎡)"
"* TS01 Surface Temperature(℃)"
"* TS02 Temperature at Depth of 5cm(℃)"
"* TS03 Temperature at Depth of 10cm(℃)"
"* TS04 Temperature at Depth of 20cm(℃)"
"* TS05 Temperature at Depth of 30cm(℃)"
"* TS06 Temperature at Depth of 50cm(℃)"
"* TS07 Temperature at Depth of 100cm(℃)"
"* TX01 Temperature(℃)"
"* TX02 Absolute Maximum Temperature(℃)"
"* TX03 Absolute Minimum Temperature(℃)"
"* TX04 Wet Bulb Temperature(℃)"
"* TX05 Dew Point Temperature(℃)"
"* VS01 Visibility(Km)"
"* WD01 Wind Speed(m/s)"
"* WD02 Wind Direction(360 degree)"
"* WD03 Maximum Wind Speed(m/s)"
"* WD04 Maximum Wind Direction(360 degree)"
"* WD05 Gust(m/s)"
"* WD06 Gust Direction(360 degree)"
********************************************************************************
"* special code of record:"
"* -9991: instrument malfunction"
"* -9996: data aggregated later"
"* -9997: data unavailable/failure for unknown reason"
"* -9998: Trace"
"* -9999: no observation"
********************************************************************************
# stno, yyyymmddhh,     PS01,     TX01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01
C0Z100, 2024090101,   1004.6,     25.6,       96,      0.0,      0.0,      1.4,    273.0,      0.0
C0Z100, 2024090102,   1004.1,     25.0,       97,      0.0,      0.0,      1.0,    211.0,      0.0
C0Z100, 2024090103,   1003.9,     24.7,       98,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024090104,   1003.7,     24.6,       99,      0.0,      0.0,      1.4,    220.0,      0.0
C0Z100, 2024090105,   1003.9,     24.3,       99,      0.0,      0.0,      1.3,    221.0,      0.0
C0Z100, 2024090106,   1004.5,     24.4,      100,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024090107,   1005.5,     26.6,       92,      0.6,    215.0,      2.7,    244.0,      0.0
C0Z100, 2024090108,   1005.9,     29.9,       76,      0.8,    237.0,      2.9,    219.0,      0.0
C0Z100, 2024090109,   1006.3,     32.4,       67,      0.5,    175.0,      2.3,    210.0,      0.0
C0Z100, 2024090110,   1005.7,     33.8,       60,      0.4,    154.0,      1.9,    197.0,      0.0
C0Z100, 2024090111,   1005.5,     34.4,       59,      0.9,     99.0,      3.4,     97.0,      0.0
C0Z100, 2024090112,   1005.1,     35.4,       54,      0.6,     74.0,      3.1,    117.0,      0.0
C0Z100, 2024090113,   1004.9,     35.2,       54,      0.9,     61.0,      3.5,    113.0,      0.0
C0Z100, 2024090114,   1004.8,     34.8,       58,      0.8,     89.0,      3.6,    101.0,      0.0
C0Z100, 2024090115,   1004.2,     35.0,       55,      0.6,    112.0,      4.3,    112.0,      0.0
C0Z100, 2024090116,   1003.7,     35.3,       53,      0.2,      0.0,      2.3,     91.0,      0.0
C0Z100, 2024090117,   1003.4,     34.0,       58,      0.4,     60.0,      1.7,     92.0,      0.0
C0Z100, 2024090118,   1003.5,     28.7,       82,      0.0,      0.0,      2.2,     38.0,      0.0
C0Z100, 2024090119,   1003.7,     27.1,       91,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024090120,   1004.2,     26.7,       94,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024090121,   1005.0,     26.5,       96,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024090122,   1005.0,     26.8,       95,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024090123,   1005.1,     26.2,       95,      0.0,      0.0,      0.8,    136.0,      0.0
C0Z100, 2024090124,   1004.6,     25.9,       95,      0.1,      0.0,      1.5,    198.0,      0.0
C0Z100, 2024090201,   1004.2,     25.5,       96,      0.0,      0.0,      0.8,    239.0,      0.0
C0Z100, 2024090202,   1004.0,     25.3,       98,      0.0,      0.0,      0.5,    206.0,      0.0
