﻿"* MH (Multifield Hourly Data Format)"
"* 以 '*' 字元開頭的文字為格式說明"
"* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組"
********************************************************************************
"* 格式說明:"
"* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位"
"* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元"
"* 時間為當地時間(LocalTime)"
"* yyyy:西元年"
"* mm:月"
"* dd:日"
"* hh:時"
********************************************************************************
"* 欄位標題說明:"
"* CD01 高雲高度(km)"
"* CD02 中雲高度(km)"
"* CD03 低雲高度(km)"
"* CD04 高雲量(10分量)"
"* CD05 中雲量(10分量)"
"* CD06 低雲量(10分量)"
"* CD07 高雲狀"
"* CD08 中雲狀"
"* CD09 低雲狀"
"* CD10 雲冪高(km)"
"* CD11 總雲量(10分量)"
"* EP05 A型蒸發量(mm)"
"* GR01 全天空日射量(MJ/㎡)"
"* PP01 降水量(mm)"
"* PP02 降水時數(hour)"
"* PS01 測站氣壓(hPa)"
"* PS02 海平面氣壓(hPa)"
"* PS11 氣壓趨勢"
"* RH01 相對溼度(%)"
"* SS01 日照時數(hour)"
"* ST01 天空狀況"
"* ST02 地面狀況"
"* ST03 雷暴"
"* ST04 液態降水1"
"* ST05 液態降水2"
"* ST06 固態降水1"
"* ST07 固態降水2"
"* ST08 固態降水3"
"* ST09 視障1"
"* ST10 視障2"
"* ST11 光象1"
"* ST12 光象2"
"* TD01 露點溫度(℃)"
"* TS01 地表溫度0cm(℃)"
"* TS02 地中溫度5cm(℃)"
"* TS03 地中溫度10cm(℃)"
"* TS04 地中溫度20cm(℃)"
"* TS05 地中溫度30cm(℃)"
"* TS06 地中溫度50cm(℃)"
"* TS07 地中溫度100cm(℃)"
"* TW01 溼球溫度(℃)"
"* TX01 氣溫(℃)"
"* TX02 絕對最高氣溫(℃)"
"* TX04 絕對最低氣溫(℃)"
"* VP01 水氣壓(hPa)"
"* VP06 飽和水氣壓(hPa)"
"* VS01 能見度(km)"
"* WD01 平均風風速(m/s)"
"* WD02 平均風風向(360 degree)"
"* WD04 最大平均風風速(m/s)"
"* WD05 最大平均風風向(360 degree)"
"* WD07 最大瞬間風風速(m/s)"
"* WD08 最大瞬間風風向(360 degree)"
"* UV01 紫外線指數"
********************************************************************************
"* 特殊值:"
"* -999.1:儀器故障待修"
"* -9.6/-999.6:資料累計於後"
"* -9.5/-99.5/-999.5/-999.5/-9999.5:因故障而無資料"
"* -9.7/-99.7/-999.7/-999.7/-9999.7:因不明原因而無資料"
"* -9.8:雨跡(Trace)"
"* None:未觀測而無資料"
********************************************************************************
# stno, yyyymmddhh,     PS01,     TX01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01
C0Z100, 2024110212,   1014.4,     25.4,       86,      0.0,      0.0,      0.9,    360.0,      0.0
C0Z100, 2024110213,   1013.6,     25.5,       84,      0.3,     40.0,      1.7,     40.0,      0.0
C0Z100, 2024110214,   1013.2,     25.3,       85,      0.5,     40.0,      1.9,     40.0,      0.0
C0Z100, 2024110215,   1013.3,     24.5,       90,      0.0,      0.0,      1.5,     40.0,      0.0
C0Z100, 2024110216,   1013.8,     23.7,       93,      0.5,     35.0,      3.0,     37.0,      0.0
C0Z100, 2024110217,   1014.5,     23.1,       94,      0.3,    360.0,      3.8,     20.0,      0.0
C0Z100, 2024110218,   1014.8,     22.9,       96,      0.0,      0.0,      1.9,    360.0,      0.0
C0Z100, 2024110219,   1015.7,     22.9,       98,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024110220,   1016.3,     22.8,       99,      0.0,      0.0,      0.6,    360.0,      0.0
C0Z100, 2024110221,   1016.5,     22.8,       99,      0.2,      0.0,      1.1,    360.0,      0.0
C0Z100, 2024110222,   1016.4,     22.8,       99,      0.0,      0.0,      1.1,    360.0,      0.0
C0Z100, 2024110223,   1016.3,     22.6,       99,      0.2,      0.0,      0.8,    360.0,      0.0
C0Z100, 2024110224,   1015.7,     22.7,      100,      0.0,      0.0,      0.8,    360.0,      0.0
C0Z100, 2024110301,   1015.4,     22.5,      100,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024110302,   1015.1,     22.5,      100,      0.0,      0.0,      0.4,    360.0,      0.0
C0Z100, 2024110303,   1014.2,     21.9,      100,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024110304,   1014.1,     21.4,      100,      0.0,      0.0,      0.6,    360.0,      0.0
C0Z100, 2024110305,   1014.1,     21.3,      100,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024110306,   1014.6,     21.6,      100,      0.0,      0.0,      0.5,    360.0,      0.0
C0Z100, 2024110307,   1014.7,     22.2,      100,      0.1,      0.0,      0.8,    360.0,      0.0
C0Z100, 2024110308,   1015.2,     23.7,       97,      0.4,    360.0,      1.5,    360.0,      0.0
C0Z100, 2024110309,   1015.5,     25.8,       82,      0.3,    357.0,      2.0,    354.0,      0.0
C0Z100, 2024110310,   1015.7,     26.9,       78,      0.7,     47.0,      2.4,     47.0,      0.0
C0Z100, 2024110311,   1015.1,     27.0,       75,      1.8,     79.0,      4.5,    102.0,      0.0
C0Z100, 2024110312,   1014.4,     26.2,       78,      1.1,     33.0,      5.0,     35.0,      0.0
C0Z100, 2024110313,   1013.6,     25.1,       81,      0.8,     34.0,      4.1,      4.0,      0.0
