﻿"* MH (Multifield Hourly Data Format)"
"* 以 '*' 字元開頭的文字為格式說明"
"* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組"
********************************************************************************
"* 格式說明:"
"* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位"
"* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元"
"* 時間為當地時間(LocalTime)"
"* yyyy:西元年"
"* mm:月"
"* dd:日"
"* hh:時"
********************************************************************************
"* 欄位標題說明:"
"* CD01 高雲高度(km)"
"* CD02 中雲高度(km)"
"* CD03 低雲高度(km)"
"* CD04 高雲量(10分量)"
"* CD05 中雲量(10分量)"
"* CD06 低雲量(10分量)"
"* CD07 高雲狀"
"* CD08 中雲狀"
"* CD09 低雲狀"
"* CD10 雲冪高(km)"
"* CD11 總雲量(10分量)"
"* EP05 A型蒸發量(mm)"
"* GR01 全天空日射量(MJ/㎡)"
"* PP01 降水量(mm)"
"* PP02 降水時數(hour)"
"* PS01 測站氣壓(hPa)"
"* PS02 海平面氣壓(hPa)"
"* PS11 氣壓趨勢"
"* RH01 相對溼度(%)"
"* SS01 日照時數(hour)"
"* ST01 天空狀況"
"* ST02 地面狀況"
"* ST03 雷暴"
"* ST04 液態降水1"
"* ST05 液態降水2"
"* ST06 固態降水1"
"* ST07 固態降水2"
"* ST08 固態降水3"
"* ST09 視障1"
"* ST10 視障2"
"* ST11 光象1"
"* ST12 光象2"
"* TD01 露點溫度(℃)"
"* TS01 地表溫度0cm(℃)"
"* TS02 地中溫度5cm(℃)"
"* TS03 地中溫度10cm(℃)"
"* TS04 地中溫度20cm(℃)"
"* TS05 地中溫度30cm(℃)"
"* TS06 地中溫度50cm(℃)"
"* TS07 地中溫度100cm(℃)"
"* TW01 溼球溫度(℃)"
"* TX01 氣溫(℃)"
"* TX02 絕對最高氣溫(℃)"
"* TX04 絕對最低氣溫(℃)"
"* VP01 水氣壓(hPa)"
"* VP06 飽和水氣壓(hPa)"
"* VS01 能見度(km)"
"* WD01 平均風風速(m/s)"
"* WD02 平均風風向(360 degree)"
"* WD04 最大平均風風速(m/s)"
"* WD05 最大平均風風向(360 degree)"
"* WD07 最大瞬間風風速(m/s)"
"* WD08 最大瞬間風風向(360 degree)"
"* UV01 紫外線指數"
********************************************************************************
"* 特殊值:"
"* -999.1:儀器故障待修"
"* -9.6/-999.6:資料累計於後"
"* -9.5/-99.5/-999.5/-999.5/-9999.5:因故障而無資料"
"* -9.7/-99.7/-999.7/-999.7/-9999.7:因不明原因而無資料"
"* -9.8:雨跡(Trace)"
"* None:未觀測而無資料"
********************************************************************************
# stno, yyyymmddhh,     PS01,     TX01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01
C0Z100, 2024110716,   1015.5,     23.0,       82,      1.1,     40.0,      6.5,      8.0,      0.0
C0Z100, 2024110717,   1016.0,     22.6,       86,      0.8,     16.0,      4.7,     15.0,      0.0
C0Z100, 2024110718,   1016.3,     22.3,       87,      0.5,     41.0,      3.8,     60.0,      0.0
C0Z100, 2024110719,   1016.8,     22.2,       90,      0.5,     33.0,      3.4,     85.0,      0.0
C0Z100, 2024110720,   1017.2,     21.4,       97,      0.7,     45.0,      4.2,     66.0,      0.0
C0Z100, 2024110721,   1016.8,     21.2,       97,      0.0,      0.0,      3.4,     16.0,      0.0
C0Z100, 2024110722,   1016.7,     21.2,       99,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024110723,   1016.0,     21.1,      100,      0.0,      0.0,      0.7,     10.0,      0.0
C0Z100, 2024110724,   1015.7,     21.1,      100,      0.0,      0.0,      0.3,     10.0,      0.0
C0Z100, 2024110801,   1015.2,     21.1,      100,      0.0,      0.0,      0.9,     10.0,      0.0
C0Z100, 2024110802,   1015.0,     21.2,      100,      0.0,      0.0,      2.3,     44.0,      0.0
C0Z100, 2024110803,   1014.4,     20.9,      100,      0.0,      0.0,      0.5,     44.0,      0.0
C0Z100, 2024110804,   1014.2,     21.0,      100,      0.0,      0.0,      0.8,      3.0,      0.5
C0Z100, 2024110805,   1014.4,     21.0,      100,      0.0,      0.0,      1.8,      3.0,      1.5
C0Z100, 2024110806,   1014.8,     20.9,      100,      0.0,      0.0,      1.4,    360.0,      0.0
C0Z100, 2024110807,   1015.3,     21.1,      100,      0.0,      0.0,      1.1,    360.0,      0.0
C0Z100, 2024110808,   1015.6,     21.2,      100,      0.4,    237.0,      2.1,    236.0,      0.5
C0Z100, 2024110809,   1015.2,     21.9,       98,      0.5,    239.0,      2.7,    223.0,      0.0
C0Z100, 2024110810,   1015.2,     23.2,       91,      0.5,    229.0,      2.1,    255.0,      0.0
C0Z100, 2024110811,   1014.8,     22.7,       94,      0.1,      0.0,      1.7,    240.0,      0.5
C0Z100, 2024110812,   1014.2,     22.3,       96,      0.0,      0.0,      1.0,    228.0,      0.5
C0Z100, 2024110813,   1013.1,     21.9,       97,      0.5,    255.0,      1.6,    255.0,      1.0
C0Z100, 2024110814,   1012.3,     22.6,       96,      0.0,      0.0,      1.8,    256.0,      0.0
C0Z100, 2024110815,   1012.0,     23.2,       94,      0.0,      0.0,      1.1,    253.0,      0.0
C0Z100, 2024110816,   1011.9,     23.4,       96,      0.1,      0.0,      1.3,    252.0,      0.0
C0Z100, 2024110817,   1012.4,     23.0,       97,      0.0,      0.0,      0.3,    252.0,      0.0
C0Z100, 2024110818,   1012.7,     22.7,       99,      0.3,    251.0,      1.3,    252.0,      0.0
C0Z100, 2024110819,   1012.9,     22.7,       99,      0.1,      0.0,      1.3,    250.0,      0.0
C0Z100, 2024110820,   1013.1,     22.3,      100,      0.0,      0.0,      1.6,    253.0,      0.0
C0Z100, 2024110821,   1013.1,     22.5,      100,      0.4,    223.0,      1.8,    219.0,      0.0
C0Z100, 2024110822,   1013.2,     22.5,      100,      0.2,      0.0,      1.7,    234.0,      0.0
C0Z100, 2024110823,   1013.4,     22.4,      100,      0.2,      0.0,      1.5,    232.0,      0.0
C0Z100, 2024110824,   1012.3,     21.9,      100,      0.1,      0.0,      1.3,    254.0,      0.0
C0Z100, 2024110901,   1011.4,     21.8,      100,      0.1,      0.0,      1.9,    257.0,      0.0
C0Z100, 2024110902,   1011.2,     21.2,      100,      0.0,      0.0,      0.7,    244.0,      0.0
C0Z100, 2024110903,   1010.8,     21.2,      100,      0.0,      0.0,      1.9,    238.0,      0.0
C0Z100, 2024110904,   1010.7,     20.9,      100,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024110905,   1010.9,     20.7,      100,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024110906,   1011.7,     20.6,      100,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024110907,   1012.7,     21.6,      100,      0.4,    233.0,      2.0,    233.0,      0.0
C0Z100, 2024110908,   1013.3,     24.1,       94,      1.1,    229.0,      3.0,    215.0,      0.0
C0Z100, 2024110909,   1013.3,     27.7,       78,      0.4,    211.0,      2.7,    239.0,      0.0
C0Z100, 2024110910,   1013.0,     29.6,       69,      0.4,    212.0,      1.7,    219.0,      0.0
C0Z100, 2024110911,   1012.6,     30.4,       67,      0.8,     77.0,      2.8,    105.0,      0.0
C0Z100, 2024110912,   1011.9,     30.5,       65,      1.4,     52.0,      3.1,    349.0,      0.0
C0Z100, 2024110913,   1011.1,     30.3,       68,      1.4,     52.0,      4.1,     77.0,      0.0
C0Z100, 2024110914,   1010.8,     29.7,       74,      1.6,     72.0,      4.3,    343.0,      0.0
C0Z100, 2024110915,   1011.1,     27.8,       80,      1.2,     57.0,      3.9,    114.0,      0.0
C0Z100, 2024110916,   1011.5,     26.9,       88,      0.8,     63.0,      3.5,     86.0,      0.0
C0Z100, 2024110917,   1011.9,     25.8,       92,      0.6,     33.0,      3.3,     69.0,      0.0
C0Z100, 2024110918,   1012.2,     25.1,       95,      0.4,     37.0,      3.8,      7.0,      0.0
C0Z100, 2024110919,   1013.0,     25.1,       97,      0.2,      0.0,      2.0,      1.0,      0.0
C0Z100, 2024110920,   1013.1,     24.6,       98,      0.0,      0.0,      2.1,     33.0,      0.0
C0Z100, 2024110921,   1013.2,     24.4,       99,      0.4,     46.0,      1.6,     54.0,      0.0
C0Z100, 2024110922,   1013.3,     24.3,       99,      0.0,      0.0,      1.4,     45.0,      0.0
C0Z100, 2024110923,   1012.9,     24.3,      100,      0.2,      0.0,      1.0,     42.0,      0.0
C0Z100, 2024110924,   1012.3,     24.2,      100,      0.0,      0.0,      1.0,     42.0,      0.0
C0Z100, 2024111001,   1011.5,     24.1,      100,      0.0,      0.0,      0.4,     42.0,      0.0
C0Z100, 2024111002,   1010.8,     23.9,      100,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024111003,   1010.4,     23.7,      100,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024111004,   1010.5,     23.9,      100,      0.0,      0.0,      0.1,      0.0,      0.0
C0Z100, 2024111005,   1011.2,     23.7,      100,      0.0,      0.0,      0.8,     42.0,      0.0
C0Z100, 2024111006,   1012.1,     23.1,      100,      0.0,      0.0,      1.1,     42.0,      0.0
C0Z100, 2024111007,   1012.8,     23.6,      100,      0.0,      0.0,      0.4,     42.0,      0.0
C0Z100, 2024111008,   1013.3,     24.0,      100,      0.0,      0.0,      0.2,      0.0,      0.5
C0Z100, 2024111009,   1013.7,     24.7,       98,      0.0,      0.0,      0.3,     41.0,      0.0
C0Z100, 2024111010,   1013.4,     26.5,       89,      0.7,     81.0,      3.1,     86.0,      0.0
C0Z100, 2024111011,   1012.9,     26.1,       89,      1.5,     59.0,      4.4,     48.0,      0.0
C0Z100, 2024111012,   1012.1,     26.4,       88,      1.1,     48.0,      4.1,     53.0,      0.0
C0Z100, 2024111013,   1011.1,     26.4,       87,      1.4,     69.0,      4.2,     52.0,      0.0
C0Z100, 2024111014,   1010.9,     26.4,       86,      1.2,     63.0,      5.2,     48.0,      0.0
C0Z100, 2024111015,   1011.1,     26.2,       86,      1.3,     60.0,      4.2,    105.0,      0.0
C0Z100, 2024111016,   1011.1,     25.2,       89,      0.8,     27.0,      4.1,     35.0,      0.0
C0Z100, 2024111017,   1011.5,     24.5,       92,      0.6,     65.0,      2.8,     10.0,      0.0
C0Z100, 2024111018,   1012.0,     24.1,       94,      0.5,     50.0,      3.3,     35.0,      0.0
C0Z100, 2024111019,   1012.8,     23.9,       94,      0.0,      0.0,      2.3,     47.0,      0.0
C0Z100, 2024111020,   1013.5,     23.7,       96,      0.3,     55.0,      1.4,     55.0,      0.0
C0Z100, 2024111021,   1013.2,     23.5,       98,      0.0,      0.0,      0.9,     55.0,      0.0
C0Z100, 2024111022,   1013.4,     23.3,      100,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024111023,   1013.3,     23.4,      100,      0.0,      0.0,      0.6,     55.0,      0.0
C0Z100, 2024111024,   1013.1,     23.1,      100,      0.0,      0.0,      0.2,      0.0,      0.0
C0Z100, 2024111101,   1012.4,     22.9,      100,      0.0,      0.0,      1.3,     56.0,      0.0
C0Z100, 2024111102,   1011.8,     22.9,      100,      0.0,      0.0,      0.3,     55.0,      0.0
C0Z100, 2024111103,   1011.3,     22.9,      100,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024111104,   1011.0,     22.9,      100,      0.0,      0.0,      0.2,      0.0,      0.0
C0Z100, 2024111105,   1010.9,     22.7,      100,      0.0,      0.0,      0.8,     56.0,      0.0
C0Z100, 2024111106,   1011.6,     22.9,      100,      0.2,      0.0,      1.1,     55.0,      0.0
C0Z100, 2024111107,   1012.5,     23.1,      100,      0.0,      0.0,      1.2,     58.0,      0.0
C0Z100, 2024111108,   1013.2,     24.3,       98,      0.0,      0.0,      0.6,     38.0,      0.0
C0Z100, 2024111109,   1013.2,     25.8,       85,      0.1,      0.0,      1.5,     29.0,      0.0
C0Z100, 2024111110,   1013.3,     26.8,       82,      0.7,     63.0,      2.2,     99.0,      0.0
C0Z100, 2024111111,   1012.5,     26.6,       79,      1.9,     59.0,      5.4,     47.0,      0.0
C0Z100, 2024111112,   1011.8,     26.9,       78,      1.4,     51.0,      5.4,     21.0,      0.0
C0Z100, 2024111113,   1010.9,     26.5,       82,      1.5,     64.0,      4.9,     68.0,      0.0
C0Z100, 2024111114,   1010.2,     26.9,       80,      1.8,     57.0,      5.9,     65.0,      0.0
C0Z100, 2024111115,   1010.3,     26.6,       80,      0.8,     47.0,      4.0,     87.0,      0.0
C0Z100, 2024111116,   1010.5,     26.0,       78,      1.1,     39.0,      3.8,     66.0,      0.0
C0Z100, 2024111117,   1011.0,     24.9,       86,      0.1,      0.0,      2.8,      8.0,      0.0
C0Z100, 2024111118,   1011.3,     23.9,       95,      0.0,      0.0,      1.8,     58.0,      0.0
C0Z100, 2024111119,   1011.6,     23.7,       97,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024111120,   1012.6,     23.8,       97,      0.0,      0.0,      1.3,     69.0,      0.0
C0Z100, 2024111121,   1011.3,     23.1,      100,      0.2,      0.0,      1.5,     22.0,      1.0
C0Z100, 2024111122,   1011.2,     22.7,      100,      0.4,    244.0,      2.2,    210.0,      0.0
C0Z100, 2024111123,   1011.3,     22.6,      100,      0.0,      0.0,      1.0,    244.0,      0.0
C0Z100, 2024111124,   1011.4,     22.6,      100,      0.2,      0.0,      0.8,    244.0,      0.0
C0Z100, 2024111201,   1010.8,     22.6,      100,      0.0,      0.0,      1.6,    245.0,      0.0
C0Z100, 2024111202,   1010.3,     22.5,      100,      0.3,    242.0,      1.4,    248.0,      0.5
C0Z100, 2024111203,   1010.3,     22.4,      100,      0.0,      0.0,      1.9,    249.0,      0.0
C0Z100, 2024111204,   1009.9,     22.3,      100,      0.1,      0.0,      1.9,    234.0,      0.5
C0Z100, 2024111205,   1010.1,     22.2,      100,      0.1,      0.0,      1.6,    227.0,      0.0
C0Z100, 2024111206,   1010.6,     22.3,      100,      0.3,    231.0,      1.6,    223.0,      0.0
C0Z100, 2024111207,   1011.5,     22.5,      100,      0.1,      0.0,      1.4,    244.0,      0.0
C0Z100, 2024111208,   1011.6,     23.2,      100,      0.1,      0.0,      1.6,    230.0,      0.0
C0Z100, 2024111209,   1012.3,     24.2,       96,      0.6,    221.0,      1.8,    252.0,      0.0
C0Z100, 2024111210,   1012.2,     25.2,       91,      0.7,    237.0,      2.5,    230.0,      0.0
C0Z100, 2024111211,   1011.6,     25.8,       88,      0.3,    206.0,      1.9,    235.0,      0.0
C0Z100, 2024111212,   1010.5,     25.5,       92,      0.1,      0.0,      0.9,    205.0,      0.0
C0Z100, 2024111213,   1010.1,     25.5,       94,      0.1,      0.0,      2.9,     64.0,      0.5
C0Z100, 2024111214,   1009.3,     25.8,       96,      0.0,      0.0,      2.1,     42.0,      0.0
C0Z100, 2024111215,   1009.3,     25.0,       96,      0.0,      0.0,      0.9,    121.0,      1.5
C0Z100, 2024111216,   1009.7,     24.4,       98,      0.4,     11.0,      2.0,    360.0,      0.5
C0Z100, 2024111217,   1010.1,     23.5,      100,      0.0,      0.0,      2.9,    352.0,      1.5
C0Z100, 2024111218,   1010.7,     23.5,      100,      0.0,      0.0,      0.8,     11.0,      0.5
C0Z100, 2024111219,   1011.1,     23.1,      100,      0.0,      0.0,      1.0,     13.0,      2.0
C0Z100, 2024111220,   1011.6,     23.1,      100,      0.0,      0.0,      0.7,      9.0,      0.0
C0Z100, 2024111221,   1011.2,     23.1,      100,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024111222,   1011.5,     22.8,      100,      0.9,     15.0,      4.3,      9.0,      3.0
C0Z100, 2024111223,   1011.6,     22.5,      100,      0.0,      0.0,      4.1,     16.0,      5.0
C0Z100, 2024111224,   1010.9,     22.5,      100,      0.1,      0.0,      1.0,     41.0,      0.5
C0Z100, 2024111301,   1010.6,     22.4,      100,      0.3,    228.0,      2.1,    222.0,      1.0
C0Z100, 2024111302,   1010.6,     22.0,      100,      0.3,    218.0,      1.3,    214.0,      1.0
C0Z100, 2024111303,   1010.4,     21.7,      100,      0.4,     41.0,      2.0,     63.0,      0.5
C0Z100, 2024111304,   1009.5,     21.5,      100,      0.0,      0.0,      2.3,     22.0,      0.0
C0Z100, 2024111305,   1009.3,     21.7,      100,      0.1,      0.0,      1.6,     74.0,      0.0
C0Z100, 2024111306,   1009.9,     21.8,      100,      0.0,      0.0,      1.3,     30.0,      0.0
C0Z100, 2024111307,   1010.2,     22.2,      100,      0.9,    243.0,      1.8,    255.0,      0.0
C0Z100, 2024111308,   1010.7,     23.4,       99,      0.9,    232.0,      3.4,    213.0,      0.0
C0Z100, 2024111309,   1011.2,     26.6,       88,      0.4,    223.0,      3.5,    228.0,      0.0
C0Z100, 2024111310,   1011.2,     29.7,       71,      0.2,      0.0,      2.4,    214.0,      0.0
C0Z100, 2024111311,   1010.9,     29.7,       73,      0.6,     74.0,      2.3,    108.0,      0.0
C0Z100, 2024111312,   1010.2,     29.7,       69,      1.2,     46.0,      3.4,     30.0,      0.0
C0Z100, 2024111313,   1009.7,     29.5,       76,      1.8,     84.0,      4.5,     92.0,      0.0
C0Z100, 2024111314,     None,     None,     None,     None,     None,      3.8,      5.0,      0.0
C0Z100, 2024111315,   1009.3,     28.1,       82,      1.1,     68.0,      2.9,     66.0,      0.0
C0Z100, 2024111316,   1009.6,     27.2,       87,      0.3,     37.0,      2.0,    101.0,      0.0
C0Z100, 2024111317,   1009.9,     26.3,       90,      0.0,      0.0,      1.3,     36.0,      0.0
C0Z100, 2024111318,   1010.3,     25.0,       97,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024111319,   1011.0,     24.6,       99,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024111320,   1011.7,     24.6,       99,      0.0,      0.0,      1.4,     55.0,      0.0
C0Z100, 2024111321,   1011.9,     23.8,      100,      0.0,      0.0,      0.5,     61.0,      0.0
C0Z100, 2024111322,   1011.8,     23.6,      100,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024111323,   1011.6,     23.6,      100,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024111324,   1011.1,     23.5,      100,      0.0,      0.0,      0.6,     61.0,      0.0
C0Z100, 2024111401,   1010.6,     23.1,      100,      0.4,     61.0,      1.3,     61.0,      0.0
C0Z100, 2024111402,   1010.1,     22.7,      100,      0.0,      0.0,      1.0,     50.0,      0.0
C0Z100, 2024111403,   1009.6,     22.5,      100,      0.0,      0.0,      0.5,    334.0,      0.0
C0Z100, 2024111404,   1009.7,     22.1,      100,      0.0,      0.0,      0.6,    335.0,      0.0
C0Z100, 2024111405,   1010.1,     22.1,      100,      0.0,      0.0,      0.9,    320.0,      0.0
C0Z100, 2024111406,   1010.5,     21.8,      100,      0.0,      0.0,      0.6,    297.0,      0.0
C0Z100, 2024111407,   1011.1,     22.2,      100,      0.0,      0.0,      0.4,    297.0,      0.0
C0Z100, 2024111408,   1011.7,     24.6,       96,      1.3,    222.0,      2.9,    223.0,      0.0
C0Z100, 2024111409,   1012.3,     25.7,       87,      0.8,    232.0,      2.7,    247.0,      0.0
C0Z100, 2024111410,   1012.3,     26.0,       83,      1.5,    228.0,      3.8,    216.0,      0.0
C0Z100, 2024111411,   1010.9,     25.5,       89,      1.4,    241.0,      4.2,    232.0,   -999.6
C0Z100, 2024111412,   1009.3,     27.6,       77,      0.9,    258.0,      2.8,    269.0,      0.0
C0Z100, 2024111413,   1009.5,     28.9,       73,      0.7,    252.0,      2.8,    255.0,      0.0
C0Z100, 2024111414,   1009.3,     28.6,       75,      0.7,    254.0,      2.1,    252.0,      0.0
C0Z100, 2024111415,   1008.5,     29.4,       75,      0.1,      0.0,      1.9,    273.0,      0.0
C0Z100, 2024111416,   1008.3,     27.8,       82,      0.0,      0.0,      1.3,    129.0,      0.0
C0Z100, 2024111417,   1008.5,     26.5,       88,      0.0,      0.0,      1.0,    138.0,      0.0
C0Z100, 2024111418,   1009.6,     25.1,       95,      0.0,      0.0,      0.3,    169.0,      0.0
C0Z100, 2024111419,   1010.0,     24.6,       98,      0.0,      0.0,      1.1,    209.0,      0.0
C0Z100, 2024111420,   1009.9,     24.1,       98,      0.4,    230.0,      1.9,    244.0,      0.5
C0Z100, 2024111421,   1009.9,     24.0,       99,      0.7,    229.0,      1.4,    226.0,      0.0
C0Z100, 2024111422,   1010.4,     23.8,       99,      0.8,    264.0,      2.3,    268.0,      0.0
C0Z100, 2024111423,   1010.1,     23.6,       99,      0.1,      0.0,      1.7,    256.0,      0.0
C0Z100, 2024111424,   1009.3,     23.5,      100,      0.5,    251.0,      1.5,    251.0,      0.0
C0Z100, 2024111501,   1008.6,     23.1,      100,      0.6,    227.0,      2.5,    227.0,      0.0
C0Z100, 2024111502,   1008.4,     23.0,      100,      1.1,    233.0,      3.5,    250.0,      0.0
C0Z100, 2024111503,   1008.0,     23.0,      100,      1.1,    232.0,      2.9,    245.0,      0.0
C0Z100, 2024111504,   1007.9,     22.9,      100,      0.7,    219.0,      2.4,    236.0,      0.0
C0Z100, 2024111505,   1007.7,     22.9,      100,      0.4,    237.0,      3.2,    280.0,      0.0
C0Z100, 2024111506,   1008.1,     23.0,       99,      1.2,    244.0,      3.0,    231.0,      0.0
C0Z100, 2024111507,   1008.6,     23.2,       99,      0.8,    230.0,      3.4,    249.0,      0.0
C0Z100, 2024111508,   1008.8,     24.8,       92,      1.1,    230.0,      3.0,    220.0,      0.0
C0Z100, 2024111509,   1008.4,     26.1,       86,      0.5,    218.0,      3.5,    216.0,      0.0
C0Z100, 2024111510,   1008.1,     27.5,       83,      1.3,    232.0,      3.6,    238.0,      0.0
C0Z100, 2024111511,   1007.2,     29.0,       76,      1.6,    241.0,      5.0,    216.0,      0.0
C0Z100, 2024111512,   1006.2,     28.2,       75,      1.7,    226.0,      4.2,    228.0,      0.0
C0Z100, 2024111513,   1005.8,     27.2,       82,      2.0,    239.0,      4.9,    226.0,      0.0
C0Z100, 2024111514,   1005.2,     28.5,       74,      1.5,    244.0,      5.0,    206.0,      0.0
C0Z100, 2024111515,   1005.4,     27.5,       77,      0.6,    236.0,      3.0,    269.0,      0.0
C0Z100, 2024111516,   1005.1,     26.6,       84,      0.8,    221.0,      3.4,    289.0,      0.0
C0Z100, 2024111517,   1005.6,     26.1,       86,      0.5,    240.0,      2.5,    257.0,      0.0
C0Z100, 2024111518,   1005.7,     25.5,       88,      0.2,      0.0,      2.2,    234.0,      0.0
C0Z100, 2024111519,   1006.5,     25.2,       88,      0.9,    223.0,      2.9,    202.0,      0.0
C0Z100, 2024111520,   1007.2,     23.8,       97,      1.3,    228.0,      3.8,    214.0,      0.5
C0Z100, 2024111521,   1007.7,     23.4,      100,      0.7,    251.0,      4.8,    221.0,      2.5
C0Z100, 2024111522,   1006.8,     23.2,      100,      0.8,    241.0,      2.0,    244.0,      0.5
C0Z100, 2024111523,   1006.2,     23.1,      100,      0.6,    244.0,      3.0,    248.0,      0.0
C0Z100, 2024111524,   1006.6,     23.1,      100,      0.9,    243.0,      2.8,    219.0,      0.0
C0Z100, 2024111601,   1006.1,     22.9,      100,      0.2,      0.0,      3.8,    233.0,      0.5
C0Z100, 2024111602,   1005.0,     22.8,      100,      0.3,    222.0,      2.2,    218.0,      0.0
C0Z100, 2024111603,   1005.2,     22.8,      100,      0.8,    258.0,      2.9,    228.0,      0.5
C0Z100, 2024111604,   1004.8,     22.6,      100,      0.3,    225.0,      2.5,    250.0,      0.5
C0Z100, 2024111605,   1005.1,     22.5,      100,      0.3,    238.0,      1.8,    247.0,      0.0
C0Z100, 2024111606,   1005.4,     22.5,      100,      0.4,    238.0,      2.2,    256.0,      0.0
C0Z100, 2024111607,   1006.0,     22.5,      100,      1.1,    237.0,      2.7,    230.0,      0.5
C0Z100, 2024111608,   1006.6,     22.6,      100,      0.8,    236.0,      3.5,    252.0,      0.0
C0Z100, 2024111609,   1006.5,     23.0,      100,      1.0,    244.0,      3.3,    242.0,      0.0
C0Z100, 2024111610,   1006.9,     23.5,       99,      0.5,    257.0,      3.4,    217.0,      0.0
C0Z100, 2024111611,   1006.7,     24.6,       95,      0.8,    236.0,      3.0,    247.0,      0.0
C0Z100, 2024111612,   1005.7,     28.5,       79,      1.0,    229.0,      2.5,    200.0,      0.0
C0Z100, 2024111613,   1004.8,     30.0,       67,      0.0,      0.0,      2.3,    234.0,      0.0
C0Z100, 2024111614,   1004.5,     29.2,       76,      0.6,     31.0,      2.6,     33.0,      0.0
C0Z100, 2024111615,   1004.8,     27.9,       84,      1.0,     10.0,      3.4,     13.0,      0.0
C0Z100, 2024111616,   1005.0,     27.1,       86,      0.7,     52.0,      3.8,     66.0,      0.0
C0Z100, 2024111617,   1004.7,     25.5,       94,      0.0,      0.0,      1.6,    351.0,      0.0
C0Z100, 2024111618,   1006.4,     24.1,       98,      0.0,      0.0,      0.4,    360.0,      0.0
C0Z100, 2024111619,   1007.4,     23.4,       99,      0.0,      0.0,      0.3,      4.0,      0.0
C0Z100, 2024111620,   1007.7,     23.8,      100,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024111621,   1008.3,     23.9,      100,      0.0,      0.0,      1.6,      6.0,      0.0
C0Z100, 2024111622,   1008.3,     24.2,      100,      0.1,      0.0,      1.6,      7.0,      0.0
C0Z100, 2024111623,   1007.7,     23.7,      100,      0.0,      0.0,      0.4,      7.0,      0.0
C0Z100, 2024111624,   1007.6,     23.6,      100,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024111701,   1007.7,     23.8,      100,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024111702,   1007.4,     23.7,      100,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024111703,   1007.2,     23.7,      100,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024111704,   1007.4,     23.4,      100,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024111705,   1008.0,     23.3,      100,      0.0,      0.0,      0.9,      7.0,      0.0
C0Z100, 2024111706,   1009.1,     23.1,      100,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024111707,   1009.8,     23.4,      100,      0.0,      0.0,      0.6,      7.0,      0.0
C0Z100, 2024111708,   1010.7,     26.1,       93,      1.0,    225.0,      2.2,    225.0,      0.0
C0Z100, 2024111709,   1011.5,     26.7,       89,      0.0,      0.0,      1.9,    241.0,      0.0
C0Z100, 2024111710,   1011.2,     27.9,       83,      0.0,      0.0,      1.5,     86.0,      0.0
C0Z100, 2024111711,   1010.9,     29.2,       76,      1.0,     62.0,      3.7,     99.0,      0.0
C0Z100, 2024111712,   1010.6,     27.2,       80,      1.5,     70.0,      4.6,     91.0,      0.0
C0Z100, 2024111713,   1009.7,     29.0,       74,      1.4,     65.0,      4.6,     86.0,      0.0
C0Z100, 2024111714,   1009.7,     27.8,       74,      2.0,     54.0,      5.5,     67.0,      0.0
C0Z100, 2024111715,   1010.1,     26.9,       77,      1.4,     48.0,      5.5,     18.0,      0.0
C0Z100, 2024111716,   1011.0,     25.3,       83,      0.9,     50.0,      4.7,     76.0,      0.0
C0Z100, 2024111717,   1011.8,     24.4,       83,      0.8,     42.0,      4.7,     93.0,      0.0
C0Z100, 2024111718,   1012.7,     24.5,       82,      1.4,     49.0,      4.4,     59.0,      0.0
C0Z100, 2024111719,   1013.5,     23.8,       83,      0.3,     29.0,      7.1,     67.0,      0.0
C0Z100, 2024111720,   1014.1,     23.5,       87,      0.0,      0.0,      2.5,     70.0,      0.0
C0Z100, 2024111721,   1014.4,     23.4,       89,      0.2,      0.0,      2.0,    220.0,      0.0
C0Z100, 2024111722,   1014.7,     23.3,       91,      0.8,    240.0,      2.3,    267.0,      0.0
